MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Delta_1,Delta_2,Delta_3,Delta_4,Delta_5,Delta_6,Delta_7,Delta_8,Delta_9,Delta_10,Delta_11,Delta_12,Delta_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
-2.5266857,-2.165024,1.0088781,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204177,-1.0727773,1.3793343,-0.18143268,1.044797,1.4250542,0.7940044,-0.08499806,0.58902496,-1.0142438,2.0050786,-2.1738791,2.0787365,-0.61625403,1.019854,-0.14663942,1.0196134,0.6452253,1.8254633,2.170011,1.6897973,2.032582,2.3381543,2.0891466,1.3324691,0.9655685,1.2663268,1.5318049,1.8606341,1.8173196
-2.5266857,-2.165024,1.0088781,-0.87748736,1.596802,-2.3246095,2.705348,-2.395691,0.5204177,-1.0727773,1.3793343,-0.18143268,1.044797,1.4250542,0.7940044,-0.08499806,0.58902496,-1.0142438,2.0050786,-2.1738791,2.0787365,-0.61625403,1.019854,-0.14663942,1.0196134,0.6452253,1.4598746,1.7314097,1.7863122,1.796207,2.2446277,1.8526205,1.1187428,0.81383157,1.0403128,1.2218878,1.758473,1.5790125
-2.5243418,-2.1531398,1.036403,-0.8444134,1.6313446,-2.2682233,2.751075,-2.3422618,0.5880064,-0.9866596,1.4353586,-0.11320149,1.1000684,1.4250542,0.7940044,-0.08499806,0.58902496,-1.0142438,2.0050786,-2.1738791,2.0787365,-0.61625403,1.019854,-0.14663942,1.0196134,0.6452253,-0.16520156,0.14383222,0.03648505,0.22500303,0.104863435,-0.2769716,-0.17468123,0.44758806,1.2701883,0.931583,0.2695353,0.14135844
-1.1786233,-0.56719714,0.3159939,0.70903903,1.6605729,0.552764,0.4531479,-0.18487886,3.3742723,-1.2078925,0.9040243,-0.9315557,1.2900244,1.4250542,0.7940044,-0.08499806,0.58902496,-1.0142438,2.0050786,-2.1738791,2.0787365,-0.61625403,1.019854,-0.14663942,1.0196134,0.6452253,-0.054383744,0.3714276,-0.4347942,-0.86003375,-1.0740545,-1.4269828,-1.4813352,-0.052131712,1.2701883,0.68885744,-0.049974076,-0.20261851
-0.7261056,-0.5542544,0.3838651,0.6015677,1.1508007,0.81563306,-0.14579196,0.16634722,2.180818,-0.06417527,0.43564603,0.08633734,0.63634306,1.4250542,0.7940044,-0.08499806,0.58902496,-1.0142438,2.0050786,-2.1738791,2.0787365,-0.61625403,1.019854,-0.14663942,1.0196134,0.6452253,0.06667146,1.1402806,0.06604827,-0.52144176,-0.8507746,-1.1513954,-1.1651464,-0.12738384,1.2701883,0.5772388,0.078946814,-0.06497177
-0.77893937,-0.9505179,0.80891913,-0.16879807,0.68559825,0.8264275,0.045956712,0.7884109,0.8128207,0.31995237,0.5524848,0.332438,0.41124192,1.1436759,0.5760591,0.042171087,0.35244817,-1.381792,1.2903535,-1.6121048,1.6140617,-1.0605698,0.6546608,-0.030185146,0.8290674,0.34127748,0.85532975,1.8521764,1.7863122,0.7916261,-0.033502303,-0.32014453,-0.73629,-0.779963,0.47793195,0.16827369,-0.1512933,0.34114954
-0.88264537,-1.5306515,0.5760451,-0.2478679,0.6551496,0.97133327,-0.12997736,1.1110351,0.1037469,0.11952002,0.8910571,0.8245712,1.6088449,0.7308134,0.14117536,-0.021601876,0.3244674,-1.3368926,0.7794516,-0.6695174,0.9717527,-1.4775329,0.26438886,0.11735397,0.53403234,0.21082492,0.40236732,0.8535639,1.7863122,0.24858047,0.2603567,-0.36214888,-1.6663909,-1.9672779,-1.3833257,-1.0455241,-0.30757564,-0.061446477
-0.91411513,-1.5392394,0.83136404,-0.014749919,1.0203872,1.4008832,-0.23594536,0.98385245,-0.021100845,0.31049365,1.2623086,1.0440217,2.3725727,0.77205247,0.4144629,-0.74066323,-0.2985739,-1.2521219,-0.3054521,-0.2243734,-0.36554074,-2.4824057,-0.9424693,-0.870187,1.0617734,-0.47027102,1.4297138,1.7680665,1.7863122,0.7538826,1.7443998,0.32576886,-0.9212795,-1.8762504,-1.3794134,-0.29778585,0.5559664,0.97347975
-0.89052397,-1.19686,1.1391656,-0.11687716,0.45714137,0.7053735,0.3483717,0.7701252,-0.17407319,0.04661412,1.6952931,1.0077095,1.4316615,1.3872811,1.3381016,-1.6108198,-0.11062598,-1.1551716,-0.636505,-0.57005787,-0.8770833,-2.0971227,-1.773224,-2.1068637,1.1532327,-1.3205501,1.3196405,1.5662534,0.9245203,1.1879909,2.3872285,0.45482603,-0.7774382,-2.0148673,-1.4810712,-0.21346056,0.62676096,0.9878472
-0.82986313,-0.9521951,0.87465477,0.028121639,-0.2449435,-0.20634395,0.29796714,0.390828,0.05551374,-0.69410926,1.0124882,0.20709188,0.8142008,1.9851795,2.166448,-2.2048151,0.20801751,-1.1458558,-0.74277765,-0.8770264,-1.1008352,-1.6494545,-1.636926,-3.114928,1.2539068,-2.2450612,0.99452126,1.5395268,1.3211943,1.8332399,2.3872285,0.3444155,-1.3562008,-2.3126624,-1.2269914,0.19853944,0.4333249,0.5261661
-0.75661474,-1.0998931,0.30300653,0.79190874,0.26258418,1.0934432,0.75040054,0.42646417,0.017488707,-0.67725945,0.98829484,0.03466619,1.1075351,2.2495494,2.6404798,-2.4282827,0.26851514,-1.3756114,-0.84851664,-0.8392883,-1.0686711,-1.4809858,-0.6298052,-3.29398,0.8125306,-2.9105422,1.2803437,2.3335185,1.285268,1.6405054,1.3561182,-0.21642801,-1.291719,-1.8127184,-0.63792104,0.2715234,0.4449344,0.371079
0.89505947,0.6234642,-1.7545303,-0.36507937,-0.020575082,-0.29160103,-1.172664,-1.5208849,-1.8735595,-3.2198074,-1.644959,2.1259668,-0.059829194,2.1580217,2.5486262,-2.707945,0.22283374,-1.5162656,-0.78620726,-0.87547976,-0.8369483,-1.453412,0.47270888,-3.0015585,0.07543584,-2.822777,1.4697361,0.09100996,-0.887448,-0.6999042,-1.0037807,-1.7074603,-1.1523583,0.9655685,1.0518563,-0.3693311,0.6874109,1.5475254
1.5998518,0.6869382,-1.9775524,-0.097791225,-0.44150668,-0.47498044,-1.470594,-0.9395738,-1.9973369,-2.334544,-2.2920089,2.5831993,-0.9295085,1.770313,2.2024653,-2.626621,0.21118155,-1.0463859,-0.31826788,-0.8680821,-0.5366262,-1.1055104,0.8420063,-2.2451303,-0.23782705,-1.7732574,1.663155,0.29752237,-0.67187816,-0.5583344,-0.7307218,-1.1244168,-1.3887107,0.9655685,1.1006534,-0.72059894,0.57386035,1.5423899
1.6825657,0.78622913,-1.8575301,0.17153817,-0.53547895,-0.21108912,-1.0956699,-0.49638462,-1.6700628,-1.0451919,-2.0089836,2.213294,-0.81746197,1.1334305,1.7009686,-2.0581105,0.1222246,-0.5570951,-0.10401906,-0.57554317,-0.19797988,-0.6160911,0.76744175,-1.1223673,-0.6283089,-1.1272911,1.5089817,0.69074565,-0.1608429,-0.34811792,-0.052773565,0.21091054,-0.311656,0.9655685,1.2018083,0.25002015,0.90447086,1.1936219
1.4605231,0.8802383,-1.9050155,0.36195284,-0.93661696,-0.47924587,-0.6185068,-0.48736003,-1.7210159,0.93146586,-0.9655243,1.0390471,-0.37551627,0.35931098,1.1004163,-1.0593729,-0.27598193,-0.3645955,-0.22428699,-0.13254312,0.036457308,0.12923937,0.7974189,-0.15778482,-1.8144351,-0.707351,0.24376471,0.09475841,-0.122474924,-0.040641643,-0.030560097,-0.25759202,0.6302003,0.9655685,1.159554,0.7082399,0.09034325,0.4983014
1.2000612,0.88690466,-2.4507692,0.3199394,-1.0950004,-0.35176492,-0.7693786,-0.46700606,-1.8709505,1.6308798,-0.74417216,-0.1623497,-0.5453811,-0.3800269,0.36571366,0.06313909,-0.5866934,-0.43658504,0.06314888,0.7107776,0.26375037,1.0976261,1.2481642,0.92756814,-3.4000225,-0.6643701,-0.5149862,-0.50234985,-0.30024493,-0.35162994,-0.5278657,-0.29833466,1.3442309,0.23406485,0.40641946,-0.45655903,-0.84095806,-0.5198325
0.9695094,0.9734528,-2.509328,0.25815982,-0.55623543,0.31334358,-0.67609286,-0.44727433,-1.2927499,-0.5050908,-0.6091927,0.40999156,-0.09295437,-0.4729428,0.3785901,0.33520523,-1.2224294,-0.74605095,0.062050585,0.7967645,0.009827719,1.3867807,0.8653356,0.5063422,-3.4925025,-0.8505505,1.1884861,0.44455877,0.4828107,-0.067240715,0.4036751,2.1210942,1.082441,-0.16950463,0.85422975,-0.07616044,0.6863604,0.25798392
0.7458332,0.85078686,-2.3563168,0.25489387,-0.20077866,-0.047816224,-0.727114,-0.3952888,-1.0148487,-1.7563944,-0.8225977,0.09766785,-0.34959108,-0.2951139,0.32880375,0.48309693,-1.493809,-1.0839732,0.07055994,0.5439365,-0.02485721,1.7005548,0.7641554,-0.010672254,-2.5432472,-1.0255772,0.3744069,0.14694898,-0.11284292,-0.42302358,0.7179787,1.4159809,-0.57046074,0.9655685,0.53971916,-0.33851922,0.8542623,0.68787664
0.71278393,0.85098076,-1.6871291,-0.6301006,-0.18418539,-0.36055985,-0.51642895,-0.60029256,-0.7803779,-0.95686036,-0.9421418,-1.1816419,-0.48033306,-0.097272746,0.29984525,0.6861448,-1.3921415,-1.0205498,0.07209875,0.3937326,0.1443695,2.0722425,0.5961743,-0.5221653,-1.5580512,-1.4738162,0.035683803,-0.33715966,-0.565851,-0.65321666,0.14019011,0.7710743,-0.32163516,0.9655685,0.14305769,0.3522811,-0.022186615,0.12509984
1.099724,1.2075665,-1.2642078,-1.5239854,-1.4241291,-0.48319075,-0.17728442,-0.91920185,-0.3041032,0.26198864,-1.1382366,-2.3438077,-1.9332281,-0.014228009,0.3099769,0.929127,-1.106549,-0.90601635,0.06276327,0.29273653,0.13681686,1.9557474,0.76183474,-0.6915192,-1.2951235,-1.7500457,-1.3215014,-1.3140702,-1.2935752,-1.2711552,-1.2177063,-1.164154,-1.5462663,0.9655685,-0.72682965,-0.4710344,-1.1913006,-1.2384192
1.224643,1.1840737,-1.4807246,-1.4940518,-2.0491867,-0.23637511,-0.10204887,-0.6120804,0.037388984,1.0884941,-1.650684,-1.7006928,-1.6978099,-0.067296185,0.24987027,1.01745,-0.72028255,-0.8019709,-0.09626881,0.14899544,0.08907719,1.5832273,1.4300655,-0.52372324,-1.4853834,-1.6758733,-1.4484183,-1.3896594,-1.3723966,-1.3457849,-1.3494626,-1.4526252,-1.2774397,0.9655685,-1.2081367,-1.0747432,-1.4273047,-1.40437
1.1487192,1.1146395,-1.4834306,-1.1717501,-2.0969584,0.042961527,-0.39998996,-0.29571417,0.7402349,1.9329152,-1.0513614,-0.5414719,-0.99764186,-0.13625081,-0.06865006,1.3210942,-0.2500319,-0.00029321876,0.103022374,-0.29035446,0.49045193,0.81458175,1.1117862,-0.35278013,-0.3462016,-1.0190098,-1.4113499,-1.3650004,-1.3490605,-1.2743764,-1.094579,-0.90934247,1.3442309,0.14909704,-1.8236624,-1.7542788,-1.5619764,-1.5060012
0.98596025,1.1407416,-1.3544925,-0.81585777,-1.4514469,-0.18375778,-0.31688,0.07003829,1.1811098,1.1808138,-1.0829885,-0.7675385,-1.707446,-0.16711012,-0.46074662,1.5220283,0.35344627,0.9262367,0.30995455,-0.9066173,0.98944217,-0.29320243,-0.3308043,-0.31880203,0.93127584,-0.51012504,-1.4395639,-1.4042972,-1.3625631,-1.3934271,-1.1883817,-1.0748432,1.3442309,-1.1187832,-1.8114039,-1.7660619,-1.5719599,-1.4996752
0.78294814,1.1931069,-1.0568383,-0.8268979,-1.0590672,0.117178455,-0.5824046,-0.45744896,0.56188303,0.3017475,-1.4126664,-1.9082177,-2.1343963,-0.23436603,-0.7286782,1.6975873,0.5901223,1.735132,0.34612948,-1.2007138,1.2493395,-1.1346686,-1.4778546,-0.30167913,1.359574,0.026776599,-0.98128784,-1.1280605,-1.2158415,-1.0604753,-0.23787166,-0.47850555,0.4108054,0.9655685,-0.804581,-0.37633178,-0.98786545,-1.1895441
0.5758198,1.1170012,-0.59844524,-0.8122372,-0.9163147,-0.45874962,-0.50312865,-0.6249534,0.58805233,0.8294727,-1.068832,-2.3124027,-1.6529173,-0.22075151,-0.7197139,1.7492558,0.41222805,1.8165654,0.24932362,-1.1220841,1.0185001,-1.4246469,-1.9108584,-0.24058141,1.0709208,-0.2046863,-0.6067208,-0.5094907,-0.64730984,-0.10419703,0.8562805,1.2902912,1.1854216,-0.22792934,-0.4137567,1.5357383,0.3347063,-0.8784249
0.6655451,0.5292288,0.5446287,-0.80169713,0.09215851,0.037173223,-1.3715647,0.9820915,-0.65246767,0.2380486,-1.3118855,-0.13570231,-1.3165423,-0.20941563,-0.70980555,1.5537213,0.302514,1.5099211,0.19700004,-0.7636733,0.69326794,-1.652207,-1.9777371,-0.17940135,0.58497983,-0.4917849,-0.29463,-0.5945216,-0.16002923,0.035811704,-0.3576362,0.06773828,0.008629071,0.9655685,0.032167446,-0.40588748,0.5990863,-0.20928203
0.9708331,0.41857746,0.82740813,-0.7193581,0.10294892,0.44845468,-1.9714384,1.637687,-1.8093684,-1.5006564,-1.5182987,0.47504845,-1.6010063,-0.25360838,-0.68540066,1.3021282,0.35362926,0.94058985,0.19084956,-0.25170946,0.47531205,-1.3495257,-1.2990704,0.23474228,0.4778609,0.13888545,-0.1898319,-0.52961326,-0.6549494,-0.5267217,-0.60023135,-0.68588746,-0.9342865,0.9655685,0.29353648,-0.8933756,-0.3292562,-0.114356786
0.971245,0.56835884,0.7153446,-0.80163354,-0.11793476,0.31818357,-1.6539605,1.5124991,-1.5396855,-1.5191087,-1.5794046,-0.02214768,-1.6937543,-0.369617,-0.5609139,0.89387363,0.5863352,0.6146147,0.02619559,0.49040353,0.238455,-0.76590914,-0.41323167,0.765279,0.32580122,0.6177845,-0.39012954,-0.8015205,-0.618201,-0.5710488,-0.39989722,-0.37828273,-0.37126207,0.9655685,1.0482844,0.49721417,-0.13756779,0.06307702
0.7680441,0.6274978,0.4381772,-0.79517657,-0.25870696,0.13864188,-1.330384,0.6132569,-0.7481558,-0.9676221,-1.3980856,-0.12912926,-1.7354033,-0.55870503,-0.39787287,0.37021008,0.81108665,0.40693763,0.08034646,1.0778846,-0.16951421,-0.12607616,0.008163454,1.1910862,-0.14981309,1.0311774,-0.9177509,-1.1732415,-1.0192652,-0.99553627,-1.0413126,-1.699617,-1.6896554,0.36933288,1.2701883,0.31470996,-0.82059854,-0.76333886
0.52289337,0.51380885,0.43777817,-0.47474557,-0.09680051,0.15367301,-0.93813044,0.26122567,-1.1075813,-1.1721088,-0.82231,-0.88830894,-2.0927715,-0.7858635,-0.30148253,-0.22857924,1.0872877,0.052290298,-0.044555955,1.4450828,-0.710227,0.8819854,0.5721304,1.4637946,-0.9597992,1.8469296,-0.7721479,-0.88711315,-0.8216815,-0.9077201,-0.9729202,-1.4878472,-1.1569293,0.17865679,1.2701883,0.15904136,-1.0859679,-1.067905
0.29414397,0.46316624,0.76280856,-0.20846774,-0.1654834,0.07649596,-0.34961393,0.4832792,-0.75642455,-0.4794375,-0.59771097,-1.156969,-1.2100623,-0.85176253,-0.47073382,-0.4898738,1.0320188,-0.053433876,-0.11979687,1.1876817,-0.747016,1.4193635,0.7711196,0.9043154,-1.0264646,2.501915,-0.16077858,-0.36832133,-0.34351313,-0.63278437,-0.4571828,0.101066515,1.0121021,0.82801396,1.2701883,0.53219104,-0.26695535,-0.5212288
