Date,Description,Temperature,Feels Like,Humidity
,90 / 77 °F,Sunny.,106 °F,↑
,90 / 81 °F,Sunny.,104 °F,↑
,91 / 80 °F,Broken clouds.,103 °F,↑
,92 / 79 °F,Cloudy.,106 °F,↑
,92 / 80 °F,Overcast.,103 °F,↑
,91 / 80 °F,Scattered tstorms late. Cloudy.,102 °F,↑
,87 / 80 °F,Passing showers. Overcast.,99 °F,↑
,88 / 80 °F,Thunderstorms. Morning clouds.,91 °F,↑
,86 / 79 °F,A few tstorms. Afternoon clouds.,92 °F,↑
,87 / 79 °F,Morning clouds.,90 °F,↑
,87 / 79 °F,Sprinkles early. Partly cloudy.,90 °F,↑
,87 / 79 °F,Mostly sunny.,89 °F,↑
,88 / 80 °F,Mostly sunny.,92 °F,↑
,90 / 81 °F,A few tstorms. Morning clouds.,99 °F,↑
,89 / 81 °F,Passing showers. Mostly cloudy.,100 °F,↑
