Name,Price (USD),24h Change (%)
Bitcoin,"$109,143",-3.43%
Ethereum,"$3,874.2",-3.66%
Tether,$1.0,-0.00%
BNB,"$1,103.51",-0.73%
XRP,$2.52,-3.83%
Solana,$192.15,-1.62%
USDC,$0.9998,-0.01%
Lido Staked Ether,"$3,875.05",-3.69%
Dogecoin,$0.187697,-3.35%
TRON,$0.293918,-0.95%
Cardano,$0.628111,-2.58%
Wrapped stETH,"$4,714.53",-3.77%
Wrapped Bitcoin,"$108,815",-3.72%
Wrapped Beacon ETH,"$4,181.41",-3.82%
Figure Heloc,$0.999103,-3.03%
Hyperliquid,$47.43,-2.17%
Chainlink,$17.63,-1.30%
Bitcoin Cash,$560.98,-0.69%
Wrapped eETH,"$4,180.16",-3.81%
Stellar,$0.30967,-2.53%
