Year,Laureate,Nationality
1901,,German
1902,,Dutch
1902,,N/A
1903,,French
1903,,"""for their joint researches on theradiationphenomena discovered by ProfessorHenri Becquerel"""
1903,,PolishFrench
1904,,British
1905,,HungarianGerman
1906,,British
1907,,American
1908,,French
1909,,Italian
1909,,German
1910,,Dutch
1911,,German
1912,,Swedish
1913,,Dutch
1914,,German
1915,,British
1915,,N/A
1916,Not awarded due to World War I,N/A
1917,,British
1918,,German
1919,,German
1920,,Swiss
1921,,GermanSwiss
1922,,Danish
1923,,American
1924,,Swedish
1925,,German
1925,,N/A
1926,,French
1927,,American
1927,,British
1928,,British
1929,,French
1930,,Indian
1931,Not awarded,N/A
1932,,German
1933,,Austrian
1933,,British
1934,Not awarded,N/A
1935,,British
1936,,Austrian
1936,,American
1937,,American
1937,,British
1938,,Italian
1939,,American
1940,Not awarded due to World War II,N/A
1941,Not awarded due to World War II,N/A
1942,Not awarded due to World War II,N/A
1943,,GermanAmerican
1944,,American
1945,,Austrian
1946,,American
1947,,British
1948,,British
1949,,Japanese
1950,,British
1951,,British
1951,,Irish
1952,,SwissAmerican
1952,,American
1953,,Dutch
1954,,West GermanBritish
1954,,West German
1955,,American
1955,,"""for his precision determination of themagnetic momentof theelectron"""
1956,,American
1956,,N/A
1956,,N/A
1957,,Chinese
1957,,N/A
1958,,Soviet
1958,,N/A
1958,,N/A
1959,,ItalianAmerican
1959,,American
1960,,American
1961,,American
1961,,West German
1962,,Soviet
1963,,HungarianAmerican
1963,,GermanAmerican
1963,,West German
1964,,Soviet
1964,,N/A
1964,,American
1965,,American
1965,,N/A
1965,,Japanese
1966,,French
1967,,GermanAmerican
1968,,American
1969,,American
1970,,Swedish
1970,,French
1971,,HungarianBritish
1972,,American
1972,,N/A
1972,,N/A
1973,,Japanese
1973,,NorwegianAmerican
1973,,British
1974,,British
1974,,N/A
1975,,Danish
1975,,AmericanDanish
1975,,American
1976,,American
1976,,N/A
1977,,American
1977,,British
1977,,American
1978,,Soviet
1978,,American
1978,,N/A
1979,,American
1979,,Pakistani
1979,,American
1980,,American
1980,,N/A
1981,,DutchAmerican
1981,,American
1981,,Swedish
1982,,American
1983,,IndianAmerican
1983,,American
1984,,Italian
1984,,Dutch
1985,,West German
1986,,West German
1986,,"""for their design of thescanning tunneling microscope"""
1986,,Swiss
1987,,West German
1987,,Swiss
1988,,American
1988,,N/A
1988,,N/A
1989,,American
1989,,West German
1989,,West German
1990,,American
1990,,N/A
1990,,Canadian
1991,,French
1992,,French
1993,,American
1993,,N/A
1994,,Canadian
1994,,American
1995,,American
1995,,"""for the detection of theneutrino"" and ""for pioneering experimental contributions toleptonphysics"""
1996,,American
1996,,N/A
1996,,N/A
1997,,American
1997,,French
1997,,American
1998,,American
1998,,German
1998,,American
1999,,Dutch
1999,,N/A
2000,,Russian
2000,,German
2000,,American
2001,,American
2001,,N/A
2001,,German
2002,,American
2002,,Japanese
2002,,ItalianAmerican
2003,,RussianAmerican
2003,,Russian
2003,,BritishAmerican
2004,,American
2004,,N/A
2004,,N/A
2005,,American
2005,,"""for their contributions to the development of laser-based precisionspectroscopy, including theoptical frequency combtechnique"""
2005,,German
2006,,American
2006,,N/A
2007,,French
2007,,German
2008,,Japanese
2008,,N/A
2008,,JapaneseAmerican
2009,,BritishAmericanHongkonger
2009,,Canadian
2009,,American
2010,,RussianBritish
2010,,N/A
2011,,American
2011,,AmericanAustralian
2011,,American
2012,,French
2012,,American
2013,,Belgian
2013,,British
2014,,Japanese
2014,,N/A
2014,,JapaneseAmerican
2015,,Japanese
2015,,Canadian
2016,,British
2016,,N/A
2016,,BritishAmerican
2017,,American
2017,,N/A
2017,,N/A
2018,,American
2018,,French
2018,,Canadian
2019,,CanadianAmerican
2019,,Swiss
2019,,N/A
2020,,British
2020,,German
2020,,American
2021,,JapaneseAmerican[124]
2021,,German
2021,,Italian
2022,,French
2022,,American
2022,,Austrian
2023,,French
2023,,HungarianAustrian
2023,,French
2024,,American
2024,,BritishCanadian
2025,,British
2025,,French
2025,,American
