Animal,Scientific Name / Type
Domestic dog ( Canis familiaris ) [ 3 ],Extinct Pleistocene population of the grey wolf ( Canis lupus ssp.) [ 4 ]
Domestic sheep ( Ovis aries ) [ 3 ],Possibly the Armenian mouflon ( Ovis gmelini gmelini )
Domestic pig ( Sus domesticus ),"Anatolian boar ( Sus scrofa libycus ), [ 13 ] Northern Chinese boar ( Sus scrofa moupinensis ) [ 14 ]"
European cattle or taurine cattle ( Bos taurus ) [ 3 ] [ 19 ] [ 20 ],Eurasian aurochs ( Bos primigenius primigenius )†
Domestic goat ( Capra hircus ),Bezoar ibex ( Capra aegagrus aegagrus )
"Zebu , Brahman cattle, indicine cattle or humped cattle ( Bos indicus ) [ 3 ]",Indian aurochs ( Bos primigenius namadicus )†
Domestic cat or house cat ( Felis catus ) [ 3 ],Common North African wildcat ( Felis lybica lybica ) [ 27 ]
Domestic chicken ( Gallus gallus domesticus ),Bangladesh red junglefowl ( Gallus gallus murghi ) with some contribution from the grey junglefowl ( Gallus sonneratii )
Guinea pig ( Cavia porcellus ),Montane guinea pig ( Cavia tschudii )
"Domestic donkey , domestic ass or burro ( Equus asinus )","African wild ass ( Equus africanus ), including subspecies Nubian ( E. a. africanus ) and Somali wild ass ( E. a. somaliensis ) [ 29 ]"
Gayal or Mithun ( Bos frontalis ) [ 3 ],Gaur ( Bos gaurus ) with significant introgression from other Bos species [ 32 ] [ 33 ]
Domestic duck ( Anas platyrhynchos domesticus ),Common mallard ( Anas platyrhynchos platyrhynchos )
Domestic water buffalo ( Bubalus bubalis ) [ 3 ],Wild water buffalo ( Bubalus arnee )
Dromedary or Arabian camel ( Camelus dromedarius ) [ 37 ],Unknown
"Western honey bee ( Apis mellifera ) including subspecies German ( A. m. mellifera ), Italian ( A. m. ligustica ), Carniolan ( A. m. carnica ), Caucasian ( A. m. caucasia ), Greek ( A. m. cecropia ), Saharan ( A. m. sahariensis ) and Egyptian honey bees ( A. m. lamarckii )",-
Domestic horse ( Equus caballus ),"Extinct unknown population of the wild horse ( Equus ferus ), possibly the tarpan or European wild horse ( E. f. ferus )† [ 39 ]"
Bali cattle ( Bos javanicus domesticus ),Banteng ( Bos javanicus ) [ 42 ]
Domestic silkmoth ( Bombyx mori ),Wild silkmoth ( Bombyx mandarina )
Eri silkmoth ( Samia ricini ),Ailanthus silkmoth ( Samia cynthia ) and wild eri silkmoth ( Samia canningi )
Domestic pigeon ( Columba livia domestica ),Rock dove ( Columba livia )
Domestic goose and domestic swan goose ( Anser anser domesticus and A. cygnoides domesticus ),Greylag goose ( Anser anser ) and swan goose ( A. cygnoides )
Domestic yak ( Bos grunniens ) [ 3 ],Wild yak ( Bos mutus )
Domestic Bactrian camel ( Camelus bactrianus ),Wild Bactrian camel ( Camelus ferus )
Llama ( Lama glama ) [ 3 ],Guanaco ( Lama guanicoe cacsilensis ) [ 44 ]
Alpaca ( Lama pacos ) [ 3 ],Vicuña ( Lama vicugna mensalis ) [ 44 ]
Domestic guineafowl ( Numida meleagris domesticus ),West African helmeted guineafowl ( Numida meleagris galeatus )
Fuegian dog or Yaghan dog† [ 47 ],Culpeo or Andean fox ( Lycalopex culpaeus )
Domestic ferret ( Mustela furo ),Common polecat ( Mustela putorius putorius ) and Mediterranean polecat ( M. p. aureola )
Domestic Muscovy duck ( Cairina moschata domestica ),Wild Muscovy duck ( Cairina moschata sylvestris )
Barbary dove or ringed turtle dove ( Streptopelia risoria ),African collared dove ( Streptopelia roseogrisea )
Domestic turkey ( Meleagris gallopavo domesticus ),South Mexican wild turkey ( Meleagris gallopavo gallopavo )
Goldfish ( Carassius auratus ),Prussian carp (Carassius gibelio)
Domestic rabbit ( Oryctolagus cuniculus domesticus ),Iberian rabbit ( Oryctolagus cuniculus algirus ) [ 50 ]
Koi ( Cyprinus rubrofuscus ),Amur carp ( Cyprinus rubrofuscus )
Japanese quail ( C. japonica ) or Domesticated quail,Japanese quail ( C. japonica )
Domestic canary ( Serinus canaria domestica ),Wild canary ( Serinus canaria canaria )
Society finch or Bengalese finch ( Lonchura striata domestica ),White-rumped munia or striated finch ( Lonchura striata swinhoei ) with some contribution from the Indian silverbill or white-throated munia ( Euodice malabarica )
Fancy mouse or laboratory mouse ( Mus musculus domestica ),"Western European house mouse ( Mus musculus domesticus ), Japanese house mouse ( Mus musculus molossinus )"
Fancy rat or laboratory rat ( Rattus norvegicus domestica ),Brown rat ( Rattus norvegicus )
Domestic mink ( Neogale vison domesticus ) [ 55 ],"Eastern mink ( Neogale vison vison ), Kenai mink ( N. v. melampeplus ) and Alaskan mink ( N. v. ingens )"
Domesticated silver fox ( Vulpes vulpes ),Red fox ( Vulpes vulpes )
"Domesticated hedgehogs ( Atelerix albiventris , A. algirus , Hemiechinus auritus and H. collaris )","Four-toed ( Atelerix albiventris ), Algerian ( A. algirus ), long-eared ( Hemiechinus auritus ) and Indian long-eared hedgehog ( H. collaris )"
