Country,Gold,Silver,Bronze,Total
16,0,0,2,2
10,0,0,2,2
15,7,4,9,20
26,22,27,31,80
8,2,11,9,22
2,3,4,5,12
28,182,192,226,600
29,22,35,44,101
8,9,16,31,56
18,8,2,6,16
11,4,3,1,8
14,0,0,1,1
7,13,30,42,85
28,47,57,63,167
20,1,0,1,2
3,0,1,3,4
12,1,2,1,4
24,40,49,81,170
1,0,0,2,2
22,57,89,85,231
11,0,0,1,1
8,1,1,0,2
16,3,1,2,6
28,80,117,156,353
8,0,0,1,1
25,3,8,4,15
12,303,226,198,727
21,5,16,17,38
17,1,1,2,4
15,1,1,3,5
9,16,15,17,48
22,86,70,88,244
12,0,2,0,2
8,22,22,28,72
16,49,49,45,143
29,50,80,84,214
10,0,0,1,1
8,1,0,0,1
16,4,5,6,15
16,4,4,2,10
24,9,12,20,41
7,0,0,1,1
14,10,9,17,36
15,24,16,22,62
16,2,1,1,4
27,101,85,119,305
30,239,278,299,816
12,0,1,0,1
8,13,15,19,47
18,213,220,255,688
3,28,54,36,118
5,153,129,127,409
5,56,67,81,204
16,0,1,4,5
30,298,339,343,980
30,36,46,47,129
11,1,1,3,5
15,1,1,1,3
19,0,0,1,1
17,0,1,1,2
18,4,3,6,13
28,187,161,182,530
22,0,2,2,4
26,10,10,21,41
17,10,14,16,40
18,27,29,32,88
16,0,0,1,1
23,15,10,17,42
18,4,6,10,20
29,229,201,228,658
19,27,39,28,94
24,189,162,191,542
12,1,2,1,4
8,15,25,38,78
16,39,44,41,124
3,3,1,1,5
11,16,18,27,61
19,109,100,111,320
14,0,0,3,3
8,0,5,8,13
13,4,11,6,21
19,0,2,2,4
19,0,0,0,0
11,6,9,15,30
26,2,1,0,3
15,0,8,7,15
11,0,0,1,1
25,13,27,37,77
8,0,3,7,10
15,2,12,17,31
5,0,1,0,1
16,8,5,13,26
12,1,0,1,2
9,0,5,0,5
28,110,112,134,356
13,0,1,0,1
25,63,40,54,157
14,0,1,1,2
18,3,11,13,27
8,0,1,1,2
28,65,53,53,171
19,4,3,4,11
19,1,1,2,4
14,0,1,0,1
20,1,3,1,5
23,3,5,10,18
23,73,93,142,308
26,6,11,15,32
20,2,2,8,12
11,2,2,5,9
3,0,0,1,1
23,93,101,123,317
6,147,125,150,422
3,1,4,3,8
9,395,319,296,"1,010"
1,45,38,29,112
0,0,0,0,0
1,20,28,23,71
11,0,1,0,1
8,1,1,0,2
16,0,1,2,3
13,0,2,2,4
16,0,1,0,1
6,9,8,12,29
3,2,4,3,9
18,1,2,3,6
8,10,14,9,33
9,10,10,11,31
21,28,36,31,95
25,53,76,58,187
19,0,2,0,2
14,0,1,0,1
14,1,0,1,2
29,151,181,182,514
30,54,81,79,214
15,1,1,2,4
16,9,11,23,43
8,1,1,5,7
15,0,2,0,2
18,11,11,19,41
12,0,0,1,1
11,0,1,0,1
19,3,5,11,19
16,6,4,8,18
24,41,29,41,111
8,0,1,0,1
17,5,5,3,13
8,38,41,72,151
11,1,0,1,2
29,"1,105",879,781,"2,765"
23,2,2,6,10
8,18,8,23,49
20,3,7,9,19
17,1,3,1,5
14,0,1,0,1
16,26,29,28,83
15,0,1,2,3
15,3,4,1,8
1,1,3,1,5
3,1,0,1,2
1,0,1,2,3
3,11,6,8,25
