Actual_Count,Predicted_Count
6606,5550.0996
1550,1644.4531
3747,3733.0957
6041,4382.286
7538,7933.029
7264,5379.6646
1605,1712.7249
2209,3100.0466
7499,6243.5767
5743,5323.393
1796,2808.1316
3068,4343.7236
4891,7156.5874
5260,3556.1106
2133,4029.3335
2471,3585.8547
2046,4576.6924
8156,6155.2485
5362,5647.6304
2298,1897.1989
7697,5812.7305
5463,4952.538
5409,4867.74
1872,2799.9033
1807,2196.5793
5130,4888.51
2121,2422.1726
7436,7284.6304
3830,2621.3716
5557,3281.1873
2743,2474.2183
3644,5580.802
6196,4834.457
7494,7023.837
5918,4681.506
3372,3556.162
7582,6325.6934
6053,5133.69
2566,3519.6292
1263,1080.0448
3944,6740.6357
3956,3247.7979
7580,5496.2476
4906,6128.449
6966,5778.246
705,1582.2787
4458,4872.416
5298,4625.9824
6043,4983.237
4996,2703.9504
3351,4087.8748
2431,2839.009
1011,3343.8088
4475,6738.212
4725,6477.7227
4727,5518.5005
2395,2836.3052
3351,5392.9688
4788,4627.4316
7175,4829.0464
6153,5803.6426
7442,6010.7134
1471,2371.089
7865,5174.124
6530,6009.0537
6211,5739.1123
7403,5693.2324
4302,5980.559
2077,3244.8923
7333,7039.8
3117,5290.8315
1635,4212.919
3811,4465.6323
4595,5717.7754
4363,4502.959
2034,5416.109
5686,3823.1868
4748,5096.8696
1416,1289.7742
4401,4780.916
2114,1699.9352
2028,2564.2854
5668,4603.421
22,2575.5073
3940,4137.7793
4118,3117.1785
5423,4648.026
1495,4886.435
3620,3278.3845
3403,3447.1802
1501,1559.2399
7040,5940.6997
5992,4382.4863
4990,4935.766
3095,2140.675
2832,2373.295
4713,6424.6123
2368,1335.8081
3409,2956.3323
4991,6446.4927
7713,5750.867
3785,4371.742
6664,5566.9253
2496,2659.0747
2077,4329.9473
5267,3537.0776
1162,4219.8516
2739,3167.5754
6861,5664.2417
1360,2208.8462
4602,5451.5283
7282,5138.359
3570,5298.767
8167,6692.0464
6230,5406.495
4511,5388.489
1461,2679.1462
3272,2909.4985
5923,5172.564
2177,2119.1865
6398,5237.2793
1817,3101.0583
3239,6887.883
1349,1870.3418
3867,5015.6904
5146,4548.915
4541,5114.3994
3368,3854.9294
2134,3437.427
7410,5325.347
3331,4028.7666
3974,3873.564
5495,3304.8423
5319,3364.4993
5895,7168.014
2227,1480.2983
4367,5501.0884
7460,5877.2847
1977,2583.0613
4266,5547.6533
4864,5477.79
1913,5110.178
2132,3479.656
4258,5487.982
2792,5349.434
5180,7273.6763
3958,5827.234
