Time (s),Amplitude,Frequency (Hz),Magnitude
0.0,9.094947e-12,0.0,0.0005554438
6.25e-05,3.637979e-12,40.0,0.0004651399
0.000125,2.0008883e-11,80.0,0.0005356769
0.0001875,8.185452e-12,120.0,0.0005247828
0.00025,1.2732926e-11,160.0,0.0007561105
0.0003125,0.0,200.0,0.0016670043
0.000375,2.728484e-12,240.0,0.0023248994
0.0004375,-7.275958e-12,280.0,0.0017377272
0.0005,-7.275958e-12,320.0,0.0017261208
0.0005625000000000001,-2.0918378e-11,360.0,0.0016588453
0.000625,-6.366463e-12,400.0,0.00094228523
0.0006875,0.0,440.0,0.00012195846
0.00075,-5.456968e-12,480.0,0.0010321776
0.0008125000000000001,9.094947e-12,520.0,0.0012973783
0.000875,-7.275958e-12,560.0,0.0016933534
0.0009375,0.0,600.0,0.002237789
0.001,0.0,640.0,0.000868364
0.0010625,9.094947e-12,680.0,0.0017661928
0.0011250000000000001,0.0,720.0,0.0022115784
0.0011875,7.275958e-12,760.0,0.0022506434
0.00125,1.4551915e-11,800.0,0.0023635516
0.0013125,-4.5474735e-12,840.0,0.0014148578
0.001375,7.275958e-12,880.0,0.0009486061
0.0014375,-7.275958e-12,920.0,0.00029529593
0.0015,3.637979e-12,960.0,0.0008572927
0.0015625,-9.094947e-12,1000.0,0.0011427908
0.0016250000000000001,-1.0004442e-11,1040.0,0.0010581658
0.0016875,-1.9099389e-11,1080.0,0.00091914204
0.00175,5.456968e-12,1120.0,0.0006735515
0.0018125,2.0008883e-11,1160.0,0.0015479454
0.001875,2.910383e-11,1200.0,0.0012840021
0.0019375,7.275958e-12,1240.0,0.0007024973
0.002,1.0913936e-11,1280.0,0.00048687903
0.0020625,0.0,1320.0,0.0012587789
0.002125,0.0,1360.0,0.0017992018
0.0021875,-3.637979e-12,1400.0,0.0011447399
0.0022500000000000003,-1.6370905e-11,1440.0,0.0009928669
0.0023125,7.275958e-12,1480.0,0.0011069874
0.002375,-9.094947e-12,1520.0,0.0010373136
0.0024375,-6.366463e-12,1560.0,0.0008699849
0.0025,-1.8189894e-12,1600.0,0.00093113125
0.0025625,1.6370905e-11,1640.0,0.0010177756
0.002625,0.0,1680.0,0.0012265753
0.0026875000000000002,-5.456968e-12,1720.0,0.0015415719
0.00275,-3.637979e-12,1760.0,0.0014400735
0.0028125,-1.4551915e-11,1800.0,0.00072482455
0.002875,-9.094947e-12,1840.0,0.00013025539
0.0029375,2.0008883e-11,1880.0,0.00064352335
0.003,-3.637979e-12,1920.0,0.0006583102
0.0030625,-3.637979e-12,1960.0,0.00013156026
0.003125,1.8189894e-12,2000.0,0.0006744368
0.0031875000000000002,7.275958e-12,2040.0,0.00043676523
0.0032500000000000003,2.1827873e-11,2080.0,0.0005162497
0.0033125,0.0,2120.0,0.00086203427
0.003375,1.6370905e-11,2160.0,0.0005101203
0.0034375,-1.4551915e-11,2200.0,0.0008225062
0.0035,0.0,2240.0,0.0010977645
0.0035625,1.8189894e-12,2280.0,0.0009289413
0.003625,1.8189894e-12,2320.0,0.00067793176
0.0036875000000000002,-7.275958e-12,2360.0,0.00051559473
0.00375,1.0913936e-11,2400.0,0.00031803915
0.0038125,-1.0913936e-11,2440.0,0.00027036984
0.003875,7.275958e-12,2480.0,0.0003317955
0.0039375,-1.4551915e-11,2520.0,0.00033332474
0.004,-7.275958e-12,2560.0,0.0007103283
0.0040625,-3.637979e-12,2600.0,0.00079385936
0.004125,-1.8189894e-12,2640.0,0.00049698853
0.0041875,-3.637979e-12,2680.0,0.00058473815
0.00425,-2.1827873e-11,2720.0,0.0007389972
0.0043125,1.0913936e-11,2760.0,0.00045176884
0.004375,-7.275958e-12,2800.0,0.0004697717
0.0044375000000000005,1.4551915e-11,2840.0,0.00039084174
0.0045000000000000005,0.0,2880.0,6.850877e-05
0.0045625,-1.4551915e-11,2920.0,0.00027308502
0.004625,-7.275958e-12,2960.0,0.000111453104
0.0046875,-7.275958e-12,3000.0,7.4900374e-05
0.00475,-3.637979e-12,3040.0,0.00021244386
0.0048125,7.275958e-12,3080.0,0.00066638406
0.004875,7.275958e-12,3120.0,0.00076147815
0.0049375,0.0,3160.0,0.00047390166
0.005,1.4551915e-11,3200.0,0.0005403888
0.0050625,0.0,3240.0,0.0006410419
0.005125,1.0913936e-11,3280.0,0.00061594683
0.0051875,5.002221e-12,3320.0,0.00046025115
0.00525,1.0913936e-11,3360.0,0.0002754975
0.0053125,2.1827873e-11,3400.0,0.00046712303
0.0053750000000000004,5.456968e-12,3440.0,0.00044233663
0.0054375000000000005,5.456968e-12,3480.0,0.0001638709
0.0055,1.0913936e-11,3520.0,0.00015534072
0.0055625,-2.728484e-12,3560.0,0.00020877771
0.005625,-2.1373125e-11,3600.0,0.00028383834
0.0056875,-9.094947e-12,3640.0,0.00039889975
0.00575,-1.8189894e-11,3680.0,0.0007822599
0.0058125,0.0,3720.0,0.0015149559
0.005875,0.0,3760.0,0.0014143602
0.0059375,1.43245416e-11,3800.0,0.0007967451
0.006,-1.3187673e-11,3840.0,0.000596065
0.0060625,-2.5011104e-12,3880.0,0.00014569286
0.006125,9.094947e-12,3920.0,8.232795e-05
0.0061875,-5.456968e-12,3960.0,0.00021200704
0.00625,1.0913936e-11,4000.0,0.00029843455
0.0063125,-3.092282e-11,4040.0,0.0005422187
0.0063750000000000005,2.7284841e-11,4080.0,0.0013257068
0.0064375000000000005,-4.0017767e-11,4120.0,0.0014250209
0.006500000000000001,4.7293724e-11,4160.0,0.0010138911
0.0065625,-2.6375346e-11,4200.0,0.0007836644
0.006625,1.8189894e-11,4240.0,0.00032038553
0.0066875,2.2737368e-12,4280.0,0.00031592575
0.00675,-3.45608e-11,4320.0,0.00022170522
0.0068125,6.184564e-11,4360.0,0.00016291143
